Index,Progress,Age,HouseoldIncome,Gender_2,Gender,Ethnicity,Ethnicity_selfDefined,Religious_Affilation,Highest_Qualification,SocialMedia_Use,Extremism_ScorePCA,Extermism_scoreScaled,Strain_Resilience_score,Strain_Score,Resilience_score,Confidence_inSelf,Political_Engagment,Political_LeaningRight_Left,Racism_scale
1,100,50,5,0,0,3,American ,0,2,-1.045593873,0.178886349,0.556453177,-0.135267309,0.181086521,-0.560294202,0.127664385,-0.682311858,-0.343984735,-0.930176824
2,100,20,0,2,NA,3,Serb,3,2,1.631004612,-0.963001149,2.15662645,0.141944517,-0.561006235,1.427870347,-1.456483598,1.754814289,0.8063995,-1.327620268
3,100,26,3,0,0,3,South African,2,2,-1.283513738,0.575972675,0,0.627065214,0.593360274,-0.214526454,-2.032537409,NA,0.363944025,1.057040397
4,100,18,0,1,1,3,South African,2,1,-1.164553805,0.457030781,0.166678101,-0.758993919,0.510905524,-1.16538776,-1.456483598,NA,0.717908405,0.659596953
5,100,23,3,1,1,3,South African,0,3,0.025045521,0.575972675,0,0.4884593,0.01617702,0.909218726,-1.024443239,NA,NA,NA
6,100,54,0,1,1,3,South African,5,5,-0.450794209,0.575972675,0,-0.065964353,0.345996022,-0.300968391,-0.160362521,0.536251216,NA,1.057040397
7,100,28,4,1,1,3,South African ,2,4,NA,0.575972675,0,0.627065214,1.005634028,0.044799357,0.559704744,NA,0.894890595,1.057040397
8,100,31,5,0,0,3,South american,2,3,-0.629234108,0.575972675,0,0.973579997,1.088088778,0.21768323,-0.016349068,NA,0.186961835,1.057040397
9,88,18,1,1,1,3,Welsh,2,1,-0.212874344,0.575972675,0,0.003338604,0.923179277,-1.16538776,0.271677838,NA,0.186961835,-0.53273338
10,100,21,0,1,1,3,Welsh,2,NA,-0.391314243,-0.094666028,0.939793219,-0.828296875,-0.066277731,-0.819620013,-1.600497051,-0.682311858,0.540926215,0.659596953
